Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ChromeHeadless,Chrome 66.0.3359.181,,2018-05-31 11:06:52,2018-05-31 11:07:20,27.224s,PASSED
,,,,,,
Test Cases/TC1,Chrome 66.0.3359.181,,2018-05-31 11:06:53,2018-05-31 11:07:08,15.692s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-31 11:06:53,2018-05-31 11:06:57,3.638s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-31 11:06:57,2018-05-31 11:07:03,6.223s,PASSED
takeScreenshot,Chrome 66.0.3359.181,,2018-05-31 11:07:03,2018-05-31 11:07:03,0.377s,PASSED
click,Chrome 66.0.3359.181,,2018-05-31 11:07:03,2018-05-31 11:07:08,4.408s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-31 11:07:08,2018-05-31 11:07:08,0.626s,PASSED
,,,,,,
Test Cases/TC2,Chrome 66.0.3359.181,,2018-05-31 11:07:08,2018-05-31 11:07:20,11.043s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-31 11:07:09,2018-05-31 11:07:11,2.032s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-31 11:07:11,2018-05-31 11:07:17,6.037s,PASSED
takeScreenshot,Chrome 66.0.3359.181,,2018-05-31 11:07:17,2018-05-31 11:07:17,0.471s,PASSED
click,Chrome 66.0.3359.181,,2018-05-31 11:07:17,2018-05-31 11:07:19,1.684s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-31 11:07:19,2018-05-31 11:07:20,0.597s,PASSED
